top,bottom,handbag,accessories,shoes
ethnic_dresses_148.jpg,,potlis_7.jpg,,ethnic_heels_22.jpg
,ethnic_pants_92.jpg,potlis_24.jpg,,
ethnic_dresses_49.jpg,,potlis_33.jpg,,ethnic_heels_33.jpg
ethnic_dresses_77.jpg,,potlis_63.jpg,,
ethnic_dresses_101.jpg,ethnic_pants_92.jpg,potlis_47.jpg,,
,,potlis_100.jpg,,
ethnic_dresses_42.jpg,ethnic_pants_92.jpg,potlis_58.jpg,chandbalis_101.jpg,ethnic_heels_64.jpg
ethnic_dresses_43.jpg,ethnic_pants_92.jpg,potlis_21.jpg,,ethnic_heels_64.jpg
ethnic_dresses_63.jpg,ethnic_pants_92.jpg,potlis_104.jpg,chandbalis_101.jpg,ethnic_heels_19.jpg
ethnic_dresses_11.jpg,ethnic_pants_92.jpg,,chandbalis_101.jpg,
ethnic_dresses_64.jpg,ethnic_pants_92.jpg,potlis_114.jpg,,
,ethnic_pants_92.jpg,potlis_56.jpg,,ethnic_heels_103.jpg
